28	37	01	11B	3700117			ArtSpace Charter	NO	7	www.artspacecharter.org		8282982787	2030 US Hwy 70			Swannanoa	NC	28778		2030 US Hwy 70			Swannanoa	NC	28778		1			CHRTIDEA		
29	37	01	11C	3700369			Invest Collegiate - Imagine	NO	7	http://www.icimagine.org		8286336491	110 Champion Way			Asheville	NC	28806	0224	110 Champion Way			Asheville	NC	28806	0224	1			CHRTIDEA		
30	37	01	11D	3700361			The Franklin School of Innovation	NO	7	http://www.franklinschoolofinnovation.org		8283188143	21 Innovation Dr			Asheville	NC	28806		21 Innovation Dr			Asheville	NC	28806		1			CHRTIDEA		
31	37	01	11F				Asheville PEAK Academy	NO	7	http://www.ashevillepeakacademy.org/		8282756016	42 Elk Mountain Scenic Highway			Asheville	NC	28804	1705	42 Elk Mountain Scenic Highway			Asheville	NC	28804	1705	7			CHRTIDEA		
32	37	01	11K	3700017			Francine Delany New School	NO	7	www.fdnsc.net/		8282369441	119 Brevard Road			Asheville	NC	28806		119 Brevard Road			Asheville	NC	28806		1			CHRTIDEA		
33	37	01	120	3700480			Burke County Schools	NO	1	www.burke.k12.nc.us		8284394311	PO Drawer 989			Morganton	NC	28680	0989	700 East Parker Road			Morganton	NC	28655		1			NOTCHR		
34	37	01	12A	3700118			The New Dimensions School	NO	7	newdimensions.teamcfa.org/		8284375753	550 Lenoir Road			Morganton	NC	28655		550 Lenoir Road			Morganton	NC	28655		1			CHRTIDEA		
35	37	01	130	3700530			Cabarrus County Schools	NO	1	www.cabarrus.k12.nc.us/		7042605600	PO Box 388			Concord	NC	28026	0388	4401 Old Airport Road			Concord	NC	28025	7188	1			NOTCHR		
36	37	01	132	3702430			Kannapolis City Schools	NO	1	www.kcs.k12.nc.us/		7049381131	100 Denver Street			Kannapolis	NC	28083		100 Denver Street			Kannapolis	NC	28083		1			NOTCHR		
37	37	01	13A	3700133			Carolina International School	NO	7	www.carolinainternationalschool.org		7044553847	9545 Poplar Tent Rd			Concord	NC	28027		9545 Poplar Tent Rd			Concord	NC	28027		1			CHRTIDEA		
38	37	01	13B	3700347			Cabarrus Charter Academy	NO	7	http://cabarruscharter.org		7047892500	355 Poplar Crossing Dr NW			Concord	NC	28027		355 Poplar Crossing Dr NW			Concord	NC	28027		1			CHRTIDEA		
39	37	01	13C	3700372			A.C.E. Academy	NO	7	http://www.aceacademycharter.org		7044567153	7807 Caldwell Road			Harrisburg	NC	28075		7807 Caldwell Road			Harrisburg	NC	28075		1			CHRTIDEA		
40	37	01	13D	3700399			Concord Lake STEAM Academy	NO	7	http://concordlakeacademy.org		7042735310	1911 Concord Lake Road			Kannapolis	NC	28083		1911 Concord Lake Road			Kannapolis	NC	28083		1			CHRTIDEA		
41	37	01	140	3700580			Caldwell County Schools	NO	1	www.caldwellschools.com		8287288407	1914 Hickory Boulevard SW			Lenoir	NC	28645		1914 Hickory Boulevard SW			Lenoir	NC	28645		1			NOTCHR		
42	37	01	150	3700600			Camden County Schools	NO	1	ccsnc.org/		2523350831	174 NC Hwy 343 N			Camden	NC	27921	9614	174 NC Hwy 343 N			Camden	NC	27921	9614	1			NOTCHR		
43	37	01	160	3700630			Carteret County Public Schools	NO	1	www.carteretcountyschools.org		2527284583	107 Safrit Drive			Beaufort	NC	28516	9017	107 Safrit Drive			Beaufort	NC	28516	9017	1			NOTCHR		
44	37	01	16B	3700052			Tiller School	NO	7	www.tillerschool.org		2527281995	1950 Live Oak Street			Beaufort	NC	28516		1950 Live Oak Street			Beaufort	NC	28516		1			CHRTIDEA		
45	37	01	170	3700660			Caswell County Schools	NO	1	www.caswell.k12.nc.us/		3366944116	PO Box 160			Yanceyville	NC	27379	0160	319 East Main Street			Yanceyville	NC	27379	0160	1			NOTCHR		
46	37	01	180	3700690			Catawba County Schools	NO	1	www.catawbaschools.net		8284648333	PO Box 1010			Newton	NC	28658	1000	2285 North Anderson Avenue			Newton	NC	28658	1000	1			NOTCHR		
47	37	01	181	3702190			Hickory City Schools	NO	1	www.hickoryschools.net		8283222855	432 4th Avenue SW			Hickory	NC	28602	2805	432 4th Avenue SW			Hickory	NC	28602	2805	1			NOTCHR		
48	37	01	182	3703360			Newton Conover City Schools	NO	1	www.newton-conover.org		8284643191	605 North Ashe Avenue			Newton	NC	28658	3120	605 North Ashe Avenue			Newton	NC	28658	3120	1			NOTCHR		
